episode_id,create_time,avg_score,min_score,sum_score,agent_count,size_bytes
80711305,2026-06-19T17:46:16.4689610,1324.930326,1306.432568,2649.860653,2,3130104
80739955,2026-06-19T21:06:16.3568548,1324.715388,1311.428089,2649.430776,2,503240
80691792,2026-06-19T15:34:16.3669925,1324.670868,1299.158907,2649.341735,2,2828928
80580306,2026-06-19T02:21:39.5577239,1323.517272,1273.315856,2647.034544,2,5325674
80622913,2026-06-19T07:26:09.5729778,1321.131720,1273.454465,2642.263440,2,4914544
80641821,2026-06-19T09:42:09.5662609,1320.705402,1281.242753,2641.410804,2,3737054
80560722,2026-06-19T00:01:39.9605400,1319.554748,1255.417986,2639.109495,2,3288144
80603268,2026-06-19T05:02:09.7927131,1317.855685,1271.457538,2635.711370,2,4449331
80724497,2026-06-19T19:18:18.4889246,1307.634077,1267.650095,2615.268154,2,4594870
80743105,2026-06-19T21:30:50.2352198,1302.432839,1273.395417,2604.865679,2,2823247
80737274,2026-06-19T20:46:15.8769597,1300.929994,1268.767579,2601.859987,2,2786068
80730831,2026-06-19T20:02:18.5705783,1297.738320,1255.439234,2595.476640,2,4528136
80655488,2026-06-19T11:22:09.1953582,1290.953286,1231.256112,2581.906573,2,4759013
80691791,2026-06-19T15:34:16.3648196,1289.901241,1222.368585,2579.802483,2,4776102
80730238,2026-06-19T19:58:17.9371573,1289.568292,1263.015964,2579.136583,2,5191639
80764424,2026-06-19T23:58:52.5291324,1287.223189,1269.270145,2574.446377,2,3853915
80760375,2026-06-19T23:30:53.0224025,1287.162985,1273.332402,2574.325970,2,470461
80747034,2026-06-19T21:58:50.1100034,1286.479319,1269.752082,2572.958638,2,5203593
80741926,2026-06-19T21:22:16.2483187,1284.357311,1263.697646,2568.714622,2,5038007
80733793,2026-06-19T20:22:15.8983183,1282.022953,1255.145728,2564.045906,2,5170703
80764258,2026-06-19T23:58:52.2490088,1279.937171,1260.178617,2559.874343,2,4947775
80669858,2026-06-19T13:06:09.5467303,1277.581332,1201.182457,2555.162664,2,4335236
80744772,2026-06-19T21:42:50.0123964,1276.924473,1244.639010,2553.848946,2,3526031
80723114,2026-06-19T19:10:16.5633019,1276.766284,1242.365959,2553.532568,2,2969315
80736831,2026-06-19T20:42:16.0634714,1276.273346,1239.302814,2552.546692,2,2024945
80756690,2026-06-19T23:06:50.6602618,1275.498466,1244.595183,2550.996933,2,4802969
