Next Page Token = CfDJ8Oxz6O_D_GNGkNy8kL7JFsXVh1mMKkLMgmkg8FJyoycTSWmTTBVb69AqPfcrn9w0o9bIVpjJZZibRfePX9-r2DU
  teamId  teamName                       submissionDate              score   
--------  -----------------------------  --------------------------  ------  
16441077  haggle                         2026-07-30 08:43:37.713000  1169.5  
16448747  Luca                           2026-07-28 15:29:52.756000  1163.7  
16408505  JZ                             2026-07-29 23:45:08.200000  1161.9  
16380946  flg                            2026-07-27 16:13:32.776000  1159.0  
16463316  LiamK                          2026-07-29 19:15:43.346000  1151.7  
16374395  Majkel1337                     2026-07-27 22:55:57.470000  1149.0  
16371703  やる気元気ミワハルキ                     2026-07-30 01:00:02.660000  1142.0  
16375647  James Cox & Henry Chao         2026-07-30 13:56:57.906000  1140.1  
16514272  Dominic Peel                   2026-07-30 01:08:46.393000  1133.6  
16375320  カントー地方マスター(KantoRegionMaster)  2026-07-30 01:41:33.300000  1127.0  
16461850  MissingNo.                     2026-07-30 16:03:08.590000  1125.5  
16462035  Azat Akhtyamov                 2026-07-27 02:58:59.593000  1121.4  
16374074  Octavi Grau                    2026-07-30 10:20:33.033000  1121.0  
16514960  YuPengCao                      2026-07-30 13:26:10.730000  1118.2  
16422381  JB Bryant                      2026-07-30 16:23:24.870000  1112.7  
16561141  A. R. SEKKAT                   2026-07-29 04:06:16.596000  1112.5  
16505594  Pokemon Fan                    2026-07-29 05:16:31.783000  1107.4  
16381823  Yushin Ito                     2026-07-17 02:27:09.746000  1106.2  
16382190  nsytsqdtn                      2026-07-30 14:27:07.370000  1102.3  
16536318  李秉叡（ntumlnoob）                 2026-07-29 08:38:58.616000  1100.6  
